TEMP	MOLEFRAC ETHYL-01	TOTAL PRES	TOTAL KVL N-HEP-01	TOTAL KVL ETHYL-01	LIQUID1 GAMMA N-HEP-01	LIQUID1 GAMMA ETHYL-01	LIQUID2 GAMMA N-HEP-01	LIQUID2 GAMMA ETHYL-01	TOTAL KVL2 N-HEP-01	TOTAL KVL2 ETHYL-01	TOTAL BETA	VAPOR MOLEFRAC N-HEP-01	VAPOR MOLEFRAC ETHYL-01	LIQUID1 MOLEFRAC N-HEP-01	LIQUID1 MOLEFRAC ETHYL-01	LIQUID2 MOLEFRAC N-HEP-01	LIQUID2 MOLEFRAC ETHYL-01
30	0	0.0770924	1	18.7698	1	1.96462					1	1	0	1	0		
30	0.02	0.102942	0.749435	13.2777	1.00057	1.85562					1	0.734446	0.265554	0.98	0.02		
30	0.04	0.126093	0.612902	10.2903	1.00218	1.76142					1	0.588386	0.411614	0.96	0.04		
30	0.06	0.147074	0.526846	8.41275	1.00469	1.67954					1	0.495235	0.504765	0.94	0.06		
30	0.08	0.1663	0.467517	7.12355	1.00798	1.60798					1	0.430116	0.569884	0.92	0.08		
30	0.1	0.184097	0.424032	6.18371	1.01196	1.54512					1	0.381629	0.618371	0.9	0.1		
30	0.12	0.200725	0.390702	5.46819	1.01653	1.48968					1	0.343818	0.656182	0.88	0.12		
30	0.14	0.216394	0.364264	4.90524	1.02163	1.44056					1	0.313267	0.686733	0.86	0.14		
30	0.16	0.231272	0.342715	4.45075	1.02719	1.39689					1	0.28788	0.71212	0.84	0.16		
30	0.18	0.245498	0.324757	4.07611	1.03315	1.35794					1	0.266301	0.733699	0.82	0.18		
30	0.2	0.259184	0.309514	3.76194	1.03947	1.32309					1	0.247611	0.752389	0.8	0.2		
30	0.22	0.272423	0.296372	3.49468	1.0461	1.29183					1	0.23117	0.76883	0.78	0.22		
30	0.24	0.285293	0.284889	3.26452	1.05299	1.26371					1	0.216516	0.783484	0.76	0.24		
30	0.26	0.297858	0.27474	3.0642	1.06012	1.23836					1	0.203308	0.796693	0.74	0.26		
30	0.28	0.310172	0.265678	2.88825	1.06746	1.21546					1	0.191288	0.808712	0.72	0.28		
30	0.3	0.322281	0.257515	2.73246	1.07498	1.19475					1	0.180261	0.819739	0.7	0.3		
30	0.32	0.334222	0.250104	2.59353	1.08265	1.17598					1	0.170071	0.829929	0.68	0.32		
30	0.34	0.346029	0.243329	2.46883	1.09046	1.15894					1	0.160597	0.839403	0.66	0.34		
30	0.36	0.357729	0.237097	2.35627	1.09838	1.14346					1	0.151742	0.848258	0.64	0.36		
30	0.38	0.369345	0.231333	2.25414	1.1064	1.12938					1	0.143426	0.856574	0.62	0.38		
30	0.4	0.380898	0.225974	2.16104	1.1145	1.11656					1	0.135584	0.864416	0.6	0.4		
30	0.42	0.392405	0.220969	2.07581	1.12267	1.10489					1	0.128162	0.871838	0.58	0.42		
30	0.44	0.403882	0.216278	1.99747	1.13089	1.09425					1	0.121115	0.878885	0.56	0.44		
30	0.46	0.41534	0.211863	1.92521	1.13916	1.08455					1	0.114406	0.885594	0.54	0.46		
30	0.48	0.426792	0.207694	1.85833	1.14746	1.0757					1	0.108001	0.891999	0.52	0.48		
30	0.5	0.438246	0.203747	1.79625	1.15579	1.06763					1	0.101874	0.898126	0.5	0.5		
30	0.52	0.449711	0.199999	1.73846	1.16413	1.06028					1	0.0959996	0.904	0.48	0.52		
30	0.54	0.461194	0.196432	1.68452	1.17248	1.05358					1	0.0903585	0.909642	0.46	0.54		
30	0.56	0.472702	0.193028	1.63405	1.18083	1.04748					1	0.0849322	0.915068	0.44	0.56		
30	0.58	0.484239	0.189774	1.58672	1.18918	1.04192					1	0.0797049	0.920295	0.42	0.58		
30	0.6	0.495811	0.186657	1.54223	1.19751	1.03688					1	0.0746626	0.925337	0.4	0.6		
30	0.62	0.507421	0.183666	1.50034	1.20584	1.03229					1	0.0697929	0.930207	0.38	0.62		
30	0.64	0.519073	0.180791	1.46081	1.21414	1.02814					1	0.0650848	0.934915	0.36	0.64		
30	0.66	0.530771	0.178025	1.42344	1.22242	1.02438					1	0.0605284	0.939472	0.34	0.66		
30	0.68	0.542516	0.175358	1.38807	1.23067	1.02099					1	0.0561146	0.943885	0.32	0.68		
30	0.7	0.554311	0.172785	1.35452	1.23889	1.01794					1	0.0518356	0.948164	0.3	0.7		
30	0.72	0.566157	0.1703	1.32266	1.24707	1.01521					1	0.0476838	0.952316	0.28	0.72		
30	0.74	0.578057	0.167895	1.29236	1.25522	1.01277					1	0.0436528	0.956347	0.26	0.74		
30	0.76	0.590012	0.165568	1.26351	1.26333	1.01059					1	0.0397363	0.960264	0.24	0.76		
30	0.78	0.602022	0.163313	1.23599	1.2714	1.00867					1	0.0359287	0.964071	0.22	0.78		
30	0.8	0.61409	0.161125	1.20972	1.27943	1.00699					1	0.032225	0.967775	0.2	0.8		
30	0.82	0.626215	0.159002	1.18461	1.28741	1.00552					1	0.0286204	0.97138	0.18	0.82		
30	0.84	0.638398	0.15694	1.16058	1.29534	1.00425					1	0.0251104	0.97489	0.16	0.84		
30	0.86	0.65064	0.154936	1.13757	1.30322	1.00318					1	0.0216909	0.978309	0.14	0.86		
30	0.88	0.662941	0.152986	1.1155	1.31106	1.00228					1	0.0183583	0.981642	0.12	0.88		
30	0.9	0.675302	0.151088	1.09432	1.31884	1.00155					1	0.0151088	0.984891	0.1	0.9		
30	0.92	0.687722	0.14924	1.07398	1.32657	1.00097					1	0.0119392	0.988061	0.08	0.92		
30	0.94	0.700201	0.14744	1.05442	1.33425	1.00053					1	0.00884638	0.991154	0.06	0.94		
30	0.96	0.71274	0.145684	1.0356	1.34188	1.00023					1	0.00582738	0.994173	0.04	0.96		
30	0.98	0.725339	0.143972	1.01747	1.34945	1.00006					1	0.00287945	0.997121	0.02	0.98		
30	1	0.737997	0.142302	1	1.35696	1					1	0	1	0	1		